ID,Player,Hero,Kills,Deaths,Assists,LastHits,GPM,XPM,Match,Side,Winner,ELO
3292,BenjaZ 2,juggernaut,6,1,4,150,589,498,2211015954,Radiant,RADIANT,39.28
3293,leostyle,queenofpain,8,2,4,111,601,556,2211015954,Radiant,RADIANT,39.28
3294,Nightmare 2,vengefulspirit,0,1,7,23,263,245,2211015954,Radiant,RADIANT,39.28
3295,tepita,beastmaster,3,0,5,111,519,430,2211015954,Radiant,RADIANT,39.28
3296,Aji 2,lich,2,2,1,7,181,220,2211015954,Dire,RADIANT,-39.28
3297,wop,zuus,2,5,1,69,291,302,2211015954,Dire,RADIANT,-39.28
3298,ArMaG3DoN,earthshaker,1,3,2,38,220,266,2211015954,Dire,RADIANT,-39.28
3299,AR I ALGoDonChi,sven,1,3,2,162,491,417,2211015954,Dire,RADIANT,-39.28
3300,guayo,lion,0,7,1,20,186,171,2211015954,Dire,RADIANT,-39.28
3301,Aji 2,spirit_breaker,2,9,3,11,239,213,2210971342,Radiant,DIRE,-54.9
3302,wop,lina,1,6,2,99,345,333,2210971342,Radiant,DIRE,-54.9
3303,ArMaG3DoN,dark_seer,1,7,4,117,340,251,2210971342,Radiant,DIRE,-54.9
3304,guayo,dazzle,0,5,1,14,167,167,2210971342,Radiant,DIRE,-54.9
3305,AR I ALGoDonChi,spectre,4,5,3,141,487,518,2210971342,Radiant,DIRE,-54.9
3306,J3R1CHO,lion,4,1,16,32,395,379,2210971342,Dire,DIRE,54.9
3307,Nightmare 2,witch_doctor,6,2,12,63,393,313,2210971342,Dire,DIRE,54.9
3308,BenjaZ 2,phantom_lancer,2,1,12,144,543,503,2210971342,Dire,DIRE,54.9
3309,leostyle,death_prophet,13,2,5,111,579,554,2210971342,Dire,DIRE,54.9
3310,tepita,furion,5,2,19,105,510,464,2210971342,Dire,DIRE,54.9
3311,blue,obsidian_destroyer,7,6,10,240,504,552,2208748859,Radiant,RADIANT,35.99
3312,<U+2665><U+2665><U+2665><U+2665><U+2665>,ember_spirit,17,1,13,390,721,747,2208748859,Radiant,RADIANT,35.99
3313,rZs,tusk,5,6,15,49,303,336,2208748859,Radiant,RADIANT,35.99
3314,odatruffaK,mirana,6,4,13,60,324,305,2208748859,Radiant,RADIANT,35.99
3315,Dashka,dark_seer,2,4,17,227,423,384,2208748859,Radiant,RADIANT,35.99
3316,Aji 2,earthshaker,2,9,9,30,220,232,2208748859,Dire,RADIANT,-35.99
3317,ArMaG3DoN,zuus,1,8,15,146,305,353,2208748859,Dire,RADIANT,-35.99
3318,wop,magnataur,4,6,12,121,327,394,2208748859,Dire,RADIANT,-35.99
3319,guayo,rubick,3,8,7,50,242,253,2208748859,Dire,RADIANT,-35.99
3320,Pain 2,spectre,9,7,6,205,465,507,2208748859,Dire,RADIANT,-35.99
3321,Aji 2,omniknight,1,3,1,9,139,139,2208705613,Radiant,DIRE,-50
3322,guayo,rubick,0,2,2,3,138,107,2208705613,Radiant,DIRE,-50
3323,Pain 2,invoker,1,2,0,54,276,350,2208705613,Radiant,DIRE,-50
3324,ArMaG3DoN,abaddon,0,2,1,53,248,293,2208705613,Radiant,DIRE,-50
3325,wop,phantom_assassin,1,0,1,68,318,304,2208705613,Radiant,DIRE,-50
3326,blue,gyrocopter,2,2,1,63,493,297,2208705613,Dire,DIRE,50
3327,Void soulringvi,templar_assassin,3,0,2,83,543,431,2208705613,Dire,DIRE,50
3328,rZs,enigma,1,0,6,73,496,332,2208705613,Dire,DIRE,50
3329,odatruffaK,witch_doctor,0,1,5,14,303,190,2208705613,Dire,DIRE,50
3330,Dashka,beastmaster,3,0,4,62,490,398,2208705613,Dire,DIRE,50
3331,Lecat,vengefulspirit,2,6,6,57,266,235,2206081123,Radiant,DIRE,-40.45
3332,SteffStyle,nyx_assassin,0,7,6,62,278,245,2206081123,Radiant,DIRE,-40.45
3333,okye,furion,2,8,5,331,522,429,2206081123,Radiant,DIRE,-40.45
3334,Banlisted,gyrocopter,4,6,4,309,512,509,2206081123,Radiant,DIRE,-40.45
3335,eskillz,viper,2,11,5,166,354,355,2206081123,Radiant,DIRE,-40.45
3336,wZayac,lion,7,5,16,45,314,388,2206081123,Dire,DIRE,40.45
3337,napaleoshQa 2,obsidian_destroyer,16,2,10,256,578,665,2206081123,Dire,DIRE,40.45
3338,B11zzy<U+4F20><U+8BF4>,chen,3,0,13,240,468,475,2206081123,Dire,DIRE,40.45
3339,PuberrRR,ursa,8,2,17,334,635,714,2206081123,Dire,DIRE,40.45
3340,runec,earthshaker,3,3,17,83,325,381,2206081123,Dire,DIRE,40.45
3341,wZayac,enchantress,7,2,7,131,398,443,2205999111,Radiant,RADIANT,56.58
3342,napaleoshQa 2,death_prophet,5,5,12,275,527,587,2205999111,Radiant,RADIANT,56.58
3343,B11zzy<U+4F20><U+8BF4>,disruptor,3,4,15,20,250,271,2205999111,Radiant,RADIANT,56.58
3344,PuberrRR,juggernaut,11,3,8,358,700,696,2205999111,Radiant,RADIANT,56.58
3345,runec,tidehunter,2,4,12,146,391,454,2205999111,Radiant,RADIANT,56.58
3346,Lecat,earth_spirit,2,5,8,34,189,189,2205999111,Dire,RADIANT,-56.58
3347,SteffStyle,skywrath_mage,6,6,4,46,237,251,2205999111,Dire,RADIANT,-56.58
3348,okye,dark_seer,3,7,5,278,413,374,2205999111,Dire,RADIANT,-56.58
3349,Banlisted,ember_spirit,3,5,9,367,558,690,2205999111,Dire,RADIANT,-56.58
3350,eskillz,zuus,4,6,10,216,397,445,2205999111,Dire,RADIANT,-56.58
3351,str 2,puck,6,8,6,70,526,537,2205833528,Radiant,DIRE,-23.26
3352,Heaven Can Wait,bane,1,14,4,8,244,244,2205833528,Radiant,DIRE,-23.26
3353,FakeGod,furion,3,8,4,66,386,323,2205833528,Radiant,DIRE,-23.26
3354,fozzy,juggernaut,3,8,0,95,396,380,2205833528,Radiant,DIRE,-23.26
3355,NinjaS,chen,0,9,5,23,203,175,2205833528,Radiant,DIRE,-23.26
3356,Supreme,legion_commander,9,1,14,131,800,793,2205833528,Dire,DIRE,23.26
3357,TriHard,bounty_hunter,3,3,15,22,669,413,2205833528,Dire,DIRE,23.26
3358,FeY,invoker,10,5,9,111,731,525,2205833528,Dire,DIRE,23.26
3359,ExoticDeer,lone_druid,14,0,12,98,788,727,2205833528,Dire,DIRE,23.26
3360,eL lisasH 2,tusk,8,6,23,36,591,521,2205833528,Dire,DIRE,23.26
3361,Supreme,obsidian_destroyer,6,1,4,106,631,464,2205764532,Radiant,RADIANT,29.98
3362,TriHard,earth_spirit,5,2,13,21,461,319,2205764532,Radiant,RADIANT,29.98
3363,FeY,enchantress,10,1,7,66,603,515,2205764532,Radiant,RADIANT,29.98
3364,ExoticDeer,gyrocopter,3,0,6,122,685,558,2205764532,Radiant,RADIANT,29.98
3365,eL lisasH 2,witch_doctor,5,1,11,18,438,326,2205764532,Radiant,RADIANT,29.98
3366,NinjaS,doom_bringer,0,6,3,37,260,176,2205764532,Dire,RADIANT,-29.98
3367,Heaven Can Wait,vengefulspirit,1,6,3,5,222,183,2205764532,Dire,RADIANT,-29.98
3368,fozzy,invoker,4,5,0,45,457,406,2205764532,Dire,RADIANT,-29.98
3369,FakeGod,beastmaster,0,7,5,35,276,220,2205764532,Dire,RADIANT,-29.98
3370,str 2,lycan,0,5,1,84,389,324,2205764532,Dire,RADIANT,-29.98
3371,Supreme,obsidian_destroyer,1,1,0,27,212,45,2205671955,Radiant,RADIANT,40.58
3372,TriHard,earth_spirit,0,1,4,9,155,21,2205671955,Radiant,RADIANT,40.58
3373,Nisha,tidehunter,1,1,1,43,752,60,2205671955,Radiant,RADIANT,40.58
3374,ExoticDeer,weaver,2,1,2,33,179,42,2205671955,Radiant,RADIANT,40.58
3375,eL lisasH 2,witch_doctor,1,1,3,6,165,38,2205671955,Radiant,RADIANT,40.58
3376,fozzy,invoker,1,0,0,23,203,70,2205671955,Dire,RADIANT,-40.58
3377,NinjaS,doom_bringer,0,2,0,18,154,89,2205671955,Dire,RADIANT,-40.58
3378,str 2,juggernaut,1,2,0,25,164,65,2205671955,Dire,RADIANT,-40.58
3379,FakeGod,broodmother,0,2,0,15,147,29,2205671955,Dire,RADIANT,-40.58
3380,Heaven Can Wait,abaddon,0,1,0,3,137,17,2205671955,Dire,RADIANT,-40.58
3381,The Bonus,undying,3,10,6,16,249,163,2203724151,Radiant,DIRE,-41.43
3382,FalcoStyle O  .,obsidian_destroyer,1,9,3,48,276,284,2203724151,Radiant,DIRE,-41.43
3383,Prada.,lion,1,11,6,4,163,121,2203724151,Radiant,DIRE,-41.43
3384,Else,faceless_void,0,3,3,39,226,269,2203724151,Radiant,DIRE,-41.43
3385,Jeremy.Ftw 2,phantom_lancer,6,5,4,81,467,451,2203724151,Radiant,DIRE,-41.43
3386,Mai Shiranuiô,oracle,8,1,10,28,353,314,2203724151,Dire,DIRE,41.43
3387,k   4,spirit_breaker,3,4,21,24,343,347,2203724151,Dire,DIRE,41.43
3388,Player 34760,puck,18,1,9,152,670,651,2203724151,Dire,DIRE,41.43
3389,Iradonus,omniknight,0,4,8,32,234,244,2203724151,Dire,DIRE,41.43
3390,Mikoto Suoh,ursa,9,1,5,91,466,462,2203724151,Dire,DIRE,41.43
3391,KuroKy,dazzle,0,8,0,32,161,147,2201993554,Radiant,DIRE,-37.91
3392,FATA,invoker,2,7,0,117,392,273,2201993554,Radiant,DIRE,-37.91
3393,JerAx,tusk,0,4,1,23,160,133,2201993554,Radiant,DIRE,-37.91
3394,riskMinDContRoL,faceless_void,0,3,1,57,240,256,2201993554,Radiant,DIRE,-37.91
3395,MATUMBAMAN,drow_ranger,1,4,1,144,382,340,2201993554,Radiant,DIRE,-37.91
3396,Puppey,doom_bringer,6,0,9,40,414,405,2201993554,Dire,DIRE,37.91
3397,MiSeRY,beastmaster,7,1,7,116,518,426,2201993554,Dire,DIRE,37.91
3398,Eternal Envy,slark,9,0,6,194,699,640,2201993554,Dire,DIRE,37.91
3399,w33,windrunner,3,0,9,115,496,479,2201993554,Dire,DIRE,37.91
3400,PieLieDie,lion,1,2,7,41,335,271,2201993554,Dire,DIRE,37.91
3401,Puppey,doom_bringer,4,6,19,103,396,383,2201838263,Radiant,RADIANT,52.88
3402,MiSeRY,furion,4,4,19,318,614,544,2201838263,Radiant,RADIANT,52.88
3403,Eternal Envy,clinkz,12,4,8,226,568,557,2201838263,Radiant,RADIANT,52.88
3404,w33,invoker,14,0,11,324,774,751,2201838263,Radiant,RADIANT,52.88
3405,PieLieDie,disruptor,0,5,17,55,299,287,2201838263,Radiant,RADIANT,52.88
3406,KuroKy,wisp,1,8,5,17,162,249,2201838263,Dire,RADIANT,-52.88
3407,FATA,obsidian_destroyer,8,6,4,348,545,632,2201838263,Dire,RADIANT,-52.88
3408,JerAx,lion,1,7,9,38,227,266,2201838263,Dire,RADIANT,-52.88
3409,riskMinDContRoL,tidehunter,2,7,5,142,306,336,2201838263,Dire,RADIANT,-52.88
3410,MATUMBAMAN,tiny,7,7,7,398,598,610,2201838263,Dire,RADIANT,-52.88
3411,KuroKy,tusk,1,7,13,44,265,286,2201624014,Radiant,RADIANT,65.42
3412,FATA,invoker,10,4,14,364,645,560,2201624014,Radiant,RADIANT,65.42
3413,JerAx,oracle,1,7,11,106,290,272,2201624014,Radiant,RADIANT,65.42
3414,riskMinDContRoL,beastmaster,4,6,14,239,436,496,2201624014,Radiant,RADIANT,65.42
3415,MATUMBAMAN,lycan,14,1,8,340,596,555,2201624014,Radiant,RADIANT,65.42
3416,Puppey,winter_wyvern,2,6,10,192,344,385,2201624014,Dire,RADIANT,-65.42
3417,MiSeRY,dark_seer,4,6,12,302,447,372,2201624014,Dire,RADIANT,-65.42
3418,Eternal Envy,ursa,5,6,9,259,459,548,2201624014,Dire,RADIANT,-65.42
3419,w33,death_prophet,13,6,7,282,535,591,2201624014,Dire,RADIANT,-65.42
3420,PieLieDie,lion,1,7,9,50,209,225,2201624014,Dire,RADIANT,-65.42
3421,KuroKy,witch_doctor,2,14,5,45,204,188,2201456363,Radiant,DIRE,-47.82
3422,FATA,invoker,3,5,8,353,582,501,2201456363,Radiant,DIRE,-47.82
3423,JerAx,phoenix,4,6,10,92,316,382,2201456363,Radiant,DIRE,-47.82
3424,riskMinDContRoL,faceless_void,0,5,8,113,306,367,2201456363,Radiant,DIRE,-47.82
3425,MATUMBAMAN,necrolyte,5,7,6,284,410,460,2201456363,Radiant,DIRE,-47.82
3426,Puppey,enchantress,8,1,12,103,378,399,2201456363,Dire,DIRE,47.82
3427,MiSeRY,tidehunter,6,4,18,156,430,498,2201456363,Dire,DIRE,47.82
3428,Eternal Envy,slark,11,1,11,373,679,705,2201456363,Dire,DIRE,47.82
3429,w33,obsidian_destroyer,10,4,11,199,476,499,2201456363,Dire,DIRE,47.82
3430,PieLieDie,lion,2,4,14,68,294,305,2201456363,Dire,DIRE,47.82
3431,ppd,witch_doctor,2,3,0,19,170,144,2201116123,Radiant,DIRE,-53.2
3432,Sumail,zuus,1,5,2,73,228,210,2201116123,Radiant,DIRE,-53.2
3433,Universe,dark_seer,0,2,2,109,257,254,2201116123,Radiant,DIRE,-53.2
3434,Fear,enigma,0,4,2,128,263,207,2201116123,Radiant,DIRE,-53.2
3435,Arteezy,naga_siren,0,3,2,281,475,240,2201116123,Radiant,DIRE,-53.2
3436,KuroKy,nyx_assassin,0,1,8,57,312,292,2201116123,Dire,DIRE,53.2
3437,FATA,death_prophet,6,2,5,221,611,534,2201116123,Dire,DIRE,53.2
3438,JerAx,phoenix,2,0,12,52,324,317,2201116123,Dire,DIRE,53.2
3439,riskMinDContRoL,furion,3,0,8,242,574,454,2201116123,Dire,DIRE,53.2
3440,MATUMBAMAN,ursa,5,0,6,217,605,653,2201116123,Dire,DIRE,53.2
3441,KuroKy,lion,1,6,7,37,254,260,2201019839,Radiant,RADIANT,72.33
3442,FATA,invoker,3,2,7,243,557,408,2201019839,Radiant,RADIANT,72.33
3443,JerAx,phoenix,1,4,9,47,273,289,2201019839,Radiant,RADIANT,72.33
3444,riskMinDContRoL,furion,6,5,6,250,486,438,2201019839,Radiant,RADIANT,72.33
3445,MATUMBAMAN,lone_druid,2,2,11,358,690,631,2201019839,Radiant,RADIANT,72.33
3446,ppd,vengefulspirit,6,5,7,40,251,308,2201019839,Dire,RADIANT,-72.33
3447,Sumail,nyx_assassin,5,1,12,82,306,352,2201019839,Dire,RADIANT,-72.33
3448,Universe,dark_seer,1,3,10,209,377,365,2201019839,Dire,RADIANT,-72.33
3449,Fear,enigma,3,2,10,222,382,359,2201019839,Dire,RADIANT,-72.33
3450,Arteezy,sven,4,2,7,406,619,662,2201019839,Dire,RADIANT,-72.33
3451,ppd,crystal_maiden,3,2,12,44,281,321,2199144312,Radiant,RADIANT,25.82
3452,Sumail,templar_assassin,8,1,8,265,603,594,2199144312,Radiant,RADIANT,25.82
3453,Universe,broodmother,6,3,4,197,527,548,2199144312,Radiant,RADIANT,25.82
3454,Fear,earth_spirit,1,4,17,19,237,260,2199144312,Radiant,RADIANT,25.82
3455,Arteezy,ursa,10,2,4,234,610,651,2199144312,Radiant,RADIANT,25.82
3456,QO,slark,3,5,4,260,540,611,2199144312,Dire,RADIANT,-25.82
3457,Febby,enchantress,3,7,5,67,265,203,2199144312,Dire,RADIANT,-25.82
3458,FoREv,earthshaker,2,2,6,129,270,279,2199144312,Dire,RADIANT,-25.82
3459,MP,invoker,3,7,6,148,395,380,2199144312,Dire,RADIANT,-25.82
3460,MVP DuBu,vengefulspirit,1,7,8,10,214,225,2199144312,Dire,RADIANT,-25.82
3461,QO,ember_spirit,4,6,2,173,425,453,2198989614,Radiant,DIRE,-33.97
3462,Febby,lion,1,3,4,31,191,140,2198989614,Radiant,DIRE,-33.97
3463,FoREv,enchantress,1,8,4,97,313,310,2198989614,Radiant,DIRE,-33.97
3464,MP,spectre,4,4,6,210,479,449,2198989614,Radiant,DIRE,-33.97
3465,MVP DuBu,vengefulspirit,0,7,7,9,204,216,2198989614,Radiant,DIRE,-33.97
3466,ppd,crystal_maiden,0,3,15,35,316,318,2198989614,Dire,DIRE,33.97
3467,Sumail,death_prophet,11,1,6,190,612,588,2198989614,Dire,DIRE,33.97
3468,Universe,lone_druid,2,2,10,193,605,578,2198989614,Dire,DIRE,33.97
3469,Fear,earth_spirit,3,2,17,21,327,308,2198989614,Dire,DIRE,33.97
3470,Arteezy,ursa,12,2,4,177,614,606,2198989614,Dire,DIRE,33.97
3471,Puppey,earth_spirit,2,7,21,75,321,365,2198763106,Radiant,RADIANT,41.89
3472,MiSeRY,beastmaster,3,7,14,197,396,384,2198763106,Radiant,RADIANT,41.89
3473,Eternal Envy,slark,13,4,12,354,739,720,2198763106,Radiant,RADIANT,41.89
3474,w33,invoker,14,4,13,391,717,723,2198763106,Radiant,RADIANT,41.89
3475,PieLieDie,lion,3,6,10,76,330,408,2198763106,Radiant,RADIANT,41.89
3476,KuroKy,rubick,3,7,8,50,306,372,2198763106,Dire,RADIANT,-41.89
3477,FATA,death_prophet,10,6,7,206,506,554,2198763106,Dire,RADIANT,-41.89
3478,JerAx,tusk,0,9,16,39,254,236,2198763106,Dire,RADIANT,-41.89
3479,riskMinDContRoL,furion,4,6,9,242,472,416,2198763106,Dire,RADIANT,-41.89
3480,MATUMBAMAN,obsidian_destroyer,9,8,5,226,486,455,2198763106,Dire,RADIANT,-41.89
3481,KuroKy,legion_commander,0,10,4,60,219,230,2198604205,Radiant,DIRE,-58.59
3482,FATA,invoker,6,6,4,284,505,423,2198604205,Radiant,DIRE,-58.59
3483,JerAx,tusk,1,10,7,50,237,235,2198604205,Radiant,DIRE,-58.59
3484,riskMinDContRoL,beastmaster,0,9,8,180,353,274,2198604205,Radiant,DIRE,-58.59
3485,MATUMBAMAN,gyrocopter,9,8,4,296,550,589,2198604205,Radiant,DIRE,-58.59
3486,Puppey,doom_bringer,3,6,19,74,318,311,2198604205,Dire,DIRE,58.59
3487,MiSeRY,dark_seer,8,0,22,214,499,485,2198604205,Dire,DIRE,58.59
3488,Eternal Envy,spectre,16,1,20,268,646,763,2198604205,Dire,DIRE,58.59
3489,w33,windrunner,13,2,13,192,520,499,2198604205,Dire,DIRE,58.59
3490,PieLieDie,lion,1,7,9,44,239,243,2198604205,Dire,DIRE,58.59
3491,Mushi,ursa,7,9,4,152,414,403,2198359197,Radiant,DIRE,-42.25
3492,Chrissy,chen,3,5,5,159,343,312,2198359197,Radiant,DIRE,-42.25
3493,BangFish,furion,4,6,14,287,509,521,2198359197,Radiant,DIRE,-42.25
3494,Net,lion,5,9,7,53,272,313,2198359197,Radiant,DIRE,-42.25
3495,Ohaiyo,broodmother,0,5,5,206,393,389,2198359197,Radiant,DIRE,-42.25
3496,QO,spectre,14,3,16,424,796,834,2198359197,Dire,DIRE,42.25
3497,Febby,vengefulspirit,2,5,11,32,278,323,2198359197,Dire,DIRE,42.25
3498,FoREv,enchantress,8,3,6,136,455,496,2198359197,Dire,DIRE,42.25
3499,MP,sven,7,4,10,231,585,592,2198359197,Dire,DIRE,42.25
3500,MVP DuBu,earth_spirit,3,5,21,20,329,355,2198359197,Dire,DIRE,42.25
3501,QO,spectre,11,1,15,304,685,592,2198252097,Radiant,RADIANT,59.09
3502,Febby,enchantress,6,2,11,67,383,382,2198252097,Radiant,RADIANT,59.09
3503,FoREv,faceless_void,2,4,15,118,401,474,2198252097,Radiant,RADIANT,59.09
3504,MP,invoker,6,1,16,140,537,517,2198252097,Radiant,RADIANT,59.09
3505,MVP DuBu,witch_doctor,2,4,11,17,277,227,2198252097,Radiant,RADIANT,59.09
3506,Mushi,life_stealer,5,3,4,143,380,395,2198252097,Dire,RADIANT,-59.09
3507,Chrissy,chen,3,6,4,83,278,215,2198252097,Dire,RADIANT,-59.09
3508,BangFish,obsidian_destroyer,4,5,4,165,403,380,2198252097,Dire,RADIANT,-59.09
3509,Net,vengefulspirit,0,7,6,36,210,212,2198252097,Dire,RADIANT,-59.09
3510,Ohaiyo,tidehunter,0,6,10,134,342,348,2198252097,Dire,RADIANT,-59.09
3511,ppd,vengefulspirit,3,1,9,14,410,273,2198141418,Radiant,RADIANT,32.15
3512,Sumail,invoker,9,0,6,67,583,428,2198141418,Radiant,RADIANT,32.15
3513,Universe,nyx_assassin,2,2,9,29,433,347,2198141418,Radiant,RADIANT,32.15
3514,Fear,enigma,0,1,11,102,565,419,2198141418,Radiant,RADIANT,32.15
3515,Arteezy,drow_ranger,5,0,4,106,675,507,2198141418,Radiant,RADIANT,32.15
3516,swindlemelonzz,dark_seer,0,4,2,90,287,303,2198141418,Dire,RADIANT,-32.15
3517,Limmp,gyrocopter,1,3,1,81,301,292,2198141418,Dire,RADIANT,-32.15
3518,Chessie 2,ember_spirit,1,5,3,69,317,302,2198141418,Dire,RADIANT,-32.15
3519,Zfreek,warlock,2,2,0,17,185,140,2198141418,Dire,RADIANT,-32.15
3520,Handsken,wisp,0,5,2,21,174,190,2198141418,Dire,RADIANT,-32.15
3521,ppd,crystal_maiden,5,1,24,63,393,431,2198057551,Radiant,RADIANT,44.04
3522,Sumail,queenofpain,6,3,23,185,538,628,2198057551,Radiant,RADIANT,44.04
3523,Universe,dark_seer,8,3,24,171,475,455,2198057551,Radiant,RADIANT,44.04
3524,Fear,earth_spirit,3,1,22,42,327,379,2198057551,Radiant,RADIANT,44.04
3525,Arteezy,ursa,13,3,12,151,555,637,2198057551,Radiant,RADIANT,44.04
3526,swindlemelonzz,enchantress,1,10,5,119,291,329,2198057551,Dire,RADIANT,-44.04
3527,Limmp,obsidian_destroyer,3,7,5,130,321,360,2198057551,Dire,RADIANT,-44.04
3528,Chessie 2,sven,2,5,8,254,524,509,2198057551,Dire,RADIANT,-44.04
3529,Zfreek,oracle,3,7,2,41,232,250,2198057551,Dire,RADIANT,-44.04
3530,Handsken,wisp,2,7,4,29,193,238,2198057551,Dire,RADIANT,-44.04
3531,ZTOKCOPPER,enchantress,3,8,6,178,335,292,2197814888,Radiant,DIRE,-76.77
3532,stingeR,broodmother,3,8,3,384,554,517,2197814888,Radiant,DIRE,-76.77
3533,uG.Greedy 2,invoker,7,7,2,413,667,632,2197814888,Radiant,DIRE,-76.77
3534,Dark Konoha,ursa,4,9,3,264,512,551,2197814888,Radiant,DIRE,-76.77
3535,Accel,crystal_maiden,0,8,4,83,273,245,2197814888,Radiant,DIRE,-76.77
3536,KINGRD,witch_doctor,12,3,13,105,393,458,2197814888,Dire,DIRE,76.77
3537,Lilkin6,vengefulspirit,2,4,15,54,282,356,2197814888,Dire,DIRE,76.77
3538,4dr,sven,16,2,10,711,858,645,2197814888,Dire,DIRE,76.77
3539,w4b thedream,lina,6,7,14,493,561,634,2197814888,Dire,DIRE,76.77
3540,THD.Jubileu Nev,faceless_void,1,1,19,257,485,632,2197814888,Dire,DIRE,76.77
3541,KINGRD,enigma,1,5,5,86,355,300,2197771156,Radiant,DIRE,-29.93
3542,THD.Jubileu Nev,furion,3,3,4,71,400,306,2197771156,Radiant,DIRE,-29.93
3543,Lilkin6,lion,2,4,5,16,265,210,2197771156,Radiant,DIRE,-29.93
3544,4dr,gyrocopter,2,3,5,89,420,326,2197771156,Radiant,DIRE,-29.93
3545,w4b thedream,zuus,0,3,3,86,361,351,2197771156,Radiant,DIRE,-29.93
3546,ZTOKCOPPER,chen,2,1,9,49,393,285,2197771156,Dire,DIRE,29.93
3547,stingeR,abaddon,5,5,4,71,477,420,2197771156,Dire,DIRE,29.93
3548,uG.Greedy 2,obsidian_destroyer,8,0,5,115,652,581,2197771156,Dire,DIRE,29.93
3549,Accel,vengefulspirit,0,2,10,32,347,295,2197771156,Dire,DIRE,29.93
3550,Dark Konoha,huskar,3,1,5,134,648,486,2197771156,Dire,DIRE,29.93
3551,Mushi,spectre,5,0,12,201,607,524,2197232058,Radiant,RADIANT,55.79
3552,Chrissy,chen,3,2,5,84,391,290,2197232058,Radiant,RADIANT,55.79
3553,BangFish,obsidian_destroyer,14,0,1,181,687,644,2197232058,Radiant,RADIANT,55.79
3554,Net,vengefulspirit,1,0,9,29,314,247,2197232058,Radiant,RADIANT,55.79
3555,Ohaiyo,nyx_assassin,4,2,13,38,376,344,2197232058,Radiant,RADIANT,55.79
3556,Simbaaa,pugna,2,5,1,68,236,222,2197232058,Dire,RADIANT,-55.79
3557,Cr1t,earth_spirit,0,8,3,32,178,200,2197232058,Dire,RADIANT,-55.79
3558,Miracle 2,antimage,1,4,0,273,495,514,2197232058,Dire,RADIANT,-55.79
3559,MoonMeander,batrider,1,4,3,118,294,288,2197232058,Dire,RADIANT,-55.79
3560,N0tail,zuus,0,7,1,84,238,231,2197232058,Dire,RADIANT,-55.79
3561,Simbaaa,enigma,10,4,11,289,467,399,2197006785,Radiant,RADIANT,61.72
3562,Cr1t,vengefulspirit,2,9,14,22,244,305,2197006785,Radiant,RADIANT,61.72
3563,Miracle 2,obsidian_destroyer,15,7,9,366,552,478,2197006785,Radiant,RADIANT,61.72
3564,MoonMeander,faceless_void,3,7,10,230,404,479,2197006785,Radiant,RADIANT,61.72
3565,N0tail,drow_ranger,1,7,12,338,454,456,2197006785,Radiant,RADIANT,61.72
3566,Mushi,sven,15,6,7,797,743,478,2197006785,Dire,RADIANT,-61.72
3567,Chrissy,bounty_hunter,4,5,11,62,289,314,2197006785,Dire,RADIANT,-61.72
3568,BangFish,puck,6,6,20,320,417,458,2197006785,Dire,RADIANT,-61.72
3569,Net,lich,7,7,18,37,232,284,2197006785,Dire,RADIANT,-61.72
3570,Ohaiyo,tidehunter,2,7,18,266,340,379,2197006785,Dire,RADIANT,-61.72
3571,Simbaaa,lion,6,8,5,68,251,293,2196830083,Radiant,DIRE,-53.42
3572,Cr1t,bounty_hunter,2,4,6,18,221,268,2196830083,Radiant,DIRE,-53.42
3573,Miracle 2,sven,7,6,6,398,613,530,2196830083,Radiant,DIRE,-53.42
3574,MoonMeander,batrider,2,8,9,149,320,334,2196830083,Radiant,DIRE,-53.42
3575,N0tail,silencer,1,4,9,169,319,342,2196830083,Radiant,DIRE,-53.42
3576,Mushi,medusa,5,4,15,331,639,631,2196830083,Dire,DIRE,53.42
3577,Chrissy,enigma,4,3,12,212,471,476,2196830083,Dire,DIRE,53.42
3578,Net,disruptor,5,4,11,26,328,380,2196830083,Dire,DIRE,53.42
3579,BangFish,invoker,10,3,10,188,525,444,2196830083,Dire,DIRE,53.42
3580,Ohaiyo,beastmaster,2,4,17,102,374,416,2196830083,Dire,DIRE,53.42
3581,s4,brewmaster,0,7,14,138,318,420,2196501846,Radiant,DIRE,-66.01
3582,Akke,witch_doctor,4,6,5,45,202,213,2196501846,Radiant,DIRE,-66.01
3583,Loda,spectre,9,6,14,306,478,532,2196501846,Radiant,DIRE,-66.01
3584,EGM,dark_seer,5,4,12,199,367,371,2196501846,Radiant,DIRE,-66.01
3585,AdmiralBulldog,furion,6,6,13,301,474,484,2196501846,Radiant,DIRE,-66.01
3586,swindlemelonzz,beastmaster,2,5,15,250,481,546,2196501846,Dire,DIRE,66.01
3587,Limmp,obsidian_destroyer,11,5,11,297,584,630,2196501846,Dire,DIRE,66.01
3588,Chessie 2,ember_spirit,11,2,10,401,726,697,2196501846,Dire,DIRE,66.01
3589,Zfreek,mirana,3,5,7,67,307,223,2196501846,Dire,DIRE,66.01
3590,Handsken,wisp,1,7,10,59,305,340,2196501846,Dire,DIRE,66.01
3591,s4,dragon_knight,3,2,7,203,361,400,2196306427,Radiant,DIRE,-83.56
3592,Akke,chen,1,5,6,109,233,152,2196306427,Radiant,DIRE,-83.56
3593,Loda,juggernaut,6,3,5,331,495,514,2196306427,Radiant,DIRE,-83.56
3594,EGM,rubick,0,6,5,42,182,211,2196306427,Radiant,DIRE,-83.56
